0	1	2
CCOc1ccc(-c2nnc(-c3ccncc3)o2)cc1	1	2007.989
COc1cccc(C(=O)NC2CC3CCCC(C2)N3CC(=O)Nc2ccccc2)c1.Cl	1	2009.31
Cc1ccc(C(=O)C2CCNCC2)cc1.Cl	0	1999.153
CC(=O)Nc1ccc(-c2ccccc2)s1	0	2007.452
O=C(O)C1C2C=CC3(CN(Cc4ccccn4)C(=O)C13)O2	0	2019.2
CCn1c(SCc2ccc(C#N)cc2)nnc1-c1ccc(S(=O)(=O)N2CCCCC2)cc1	1	2004.806
Cc1ccc(C)n1C(Cc1ccccc1)C(=O)O	1	2009.31
CCN(C1CCCCC1)S(=O)(=O)c1ccc(S(=O)(=O)NCc2ccncc2)cc1	1	2014.715
Oc1ccccc1C1Nc2cccc3cccc(c23)N1	1	2013.142
Cc1cc(C)n(S(=O)(=O)Cc2ccccc2)n1	0	1980.443
CCN(CC)c1ccc2c(c1)OC(N)=C(C#N)C2c1cccnc1	1	2001.375
COC(=O)c1[nH]c2ccc(Br)cc2c1NC(=O)CN1CCN(C2CCCCC2)CC1	0	2021.205
O=C1CC(c2ccc3c(c2)OCO3)CN1	0	1977.203
O=C(Cc1ccc(Cl)cc1)Nc1cccc(-c2nnc(-c3ccco3)o2)c1	1	2022.956
CCc1c(C(=O)O)[nH]c2ccc(Br)cc12	1	1979.082
Cn1c(=O)n(CCC(=O)O)c2ccccc21	0	2011.17
CCn1c(SCC(=O)Nc2ccccc2C(=O)OC)nnc1-c1ccc(N)cc1	1	2017.162
Cc1[nH]nc(-c2ccc(O)cc2O)c1-c1ccc(Cl)cc1	1	2020.885
Oc1ccc(-c2[nH]ncc2-c2ccc(Cl)cc2)c(O)c1	1	2020.885
CCOc1ccc(C2=Nn3c(nnc3-c3ccccc3OC)SC2)cc1	1	2008.066
COc1ccc2c(c1)[nH]c1c(N3CCN(Cc4ccc5c(c4)OCO5)CC3)ncnc12	1	2016.077
Cc1cccc(N2CCN(C(=O)CSCc3c(C)noc3C)CC2)c1C	1	2013.296
Cc1cc(=O)[nH]c2ccccc12	0	1976.686
O=C(/C=N/O)Nc1ccccc1	0	1994.668
CCn1c(N)nc2ccccc21	0	1983.397
O=C(COC(=O)c1cccc(S(=O)(=O)N2CCN(c3ccccc3)CC2)c1)NCc1ccco1	1	2009.31
Nc1ncnc2c1cnn2-c1ccccc1	0	1984.145
Clc1ccccc1-c1nc(N2CCNCC2)c2ccccc2n1	0	2008.981
c1ccc(Nc2ncnc3ccc(-c4ccoc4)cc23)cc1	0	2008.563
O=C(Nc1ccccc1)N1CC2(CCN(S(=O)(=O)c3ccccc3)CC2)C1	0	2015.732
COc1ccccc1-c1nc(N2CCOCC2)c2ccccc2n1	0	2010.205
c1cncc(-c2nc(NCCN3CCOCC3)c3ccccc3n2)c1	0	2007.759
COc1ccc(NC(=O)N2CC3(CCN(S(=O)(=O)c4ccccc4)CC3)C2)cc1	0	2015.732
c1cc(CN2CCC3(CCNCC3)CC2)ccn1	0	2010.748
CS(=O)(=O)N1CCC2(CC1)CN(C(=O)Nc1cccc(F)c1)C2	1	2015.732
c1ccc(CN2CCCC3(CCNCC3)C2)cc1	0	2007.759
Cc1cccc(CNc2nc(-c3cccnc3)nc3ccccc23)c1	0	1994.052
c1ccc(CNc2ccnc(-c3cccnc3)n2)cc1	0	2013.027
COc1ccccc1-c1cc(NCc2cccnc2)ncn1	0	2005.227
CC(C)NC(=O)N1CC2(CCN(S(=O)(=O)c3ccccc3)CC2)C1	0	2015.732
CS(=O)(=O)N1CCC2(CC1)CN(C(=O)Nc1cccc(C#N)c1)C2	0	2015.732
COc1ccccc1-c1nc(N(C)C)c2ccccc2n1	0	2004.71
Cc1noc(C)c1-c1nc(NCc2ccccc2)c2ccccc2n1	0	2016.322
Cc1cccc(CNc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)c1	1	2011.266
CNc1cc(-c2ccccc2C(F)(F)F)ncn1	0	2015.595
COc1ccc(NC(=O)N2CC3(CCN(S(C)(=O)=O)CC3)C2)cc1	0	2015.732
c1ccc(CNc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)cc1	1	2011.266
c1nc(N2CCNCC2)c2cc(-c3ccc4c(c3)OCO4)ccc2n1	0	2011.266
CNc1nc(-c2ccccc2C(F)(F)F)nc2ccccc12	0	2007.411
COc1ccc(CNc2ncnc3ccc(-c4ccoc4)cc23)c(OC)c1	0	2011.266
c1cncc(-c2nc(N3CCNCC3)c3ccccc3n2)c1	0	2017.014
COc1ccccc1CNc1ncnc2ccc(-c3ccoc3)cc12	0	2011.266
COc1ccccc1-c1cc(Nc2ccc(F)cc2)ncn1	0	2005.227
Clc1ccccc1-c1nc(NCCN2CCOCC2)c2ccccc2n1	0	2006.742
c1ccc(N2CC3(CCNCC3)C2)cc1	0	2017.548
c1ccc(Nc2nc(-c3cccnc3)nc3ccccc23)cc1	0	1994.052
CS(=O)(=O)N1CCC2(CC1)CN(C(=O)Nc1ccccc1)C2	0	2015.732
Cc1ccccc1-c1nc(N2CCN(C)CC2)c2ccccc2n1	0	2008.981
Cc1ccccc1-c1nc(Nc2ccncc2)c2ccccc2n1	0	2000.189
c1cncc(CNc2ncnc3ccc(-c4ccoc4)cc23)c1	0	2011.266
c1ccc(CNc2nc(-c3cccnc3)nc3ccccc23)cc1	0	1994.052
c1ccc(C(c2ccccc2)N2CCCC3(CCNCC3)C2)cc1	0	2017.704
c1cncc(CNc2nc(-c3cccnc3)nc3ccccc23)c1	0	1994.052
Cc1noc(C)c1-c1ccc2ncnc(N3CCC(C(=O)O)CC3)c2c1	0	2017.416
O=C(NCc1ccccc1)c1cnc2n(c1=O)CCS2	0	2017.186
Nc1cc(-c2nn[nH]n2)ccc1F	1	2020.369
O=C1C2CCC(C(O)C2)N1Cc1ccccc1	0	1977.222
CCN(CC)S(=O)(=O)c1ccc(C(=O)Nc2ncn(Cc3ccccc3)n2)cc1	1	2007.427
COc1ccccc1OC(C)C(=O)O	0	1990.066
Cc1ccccc1-c1nc(CS(=O)CC(=O)N2CCC3(CC2)OCCO3)c(C)o1	1	2009.693
CCOC(=O)c1c(C)oc2c1cc(O)c1ccccc12	1	2013.756
Cc1cc(C(=O)NCc2ccccc2)no1	0	1993.553
COc1ccc(-c2nc(CS(=O)(=O)CC(=O)NCCc3cc(OC)ccc3OC)c(C)o2)cc1	1	2012.658
O=C1CSC(c2ccccn2)N1c1ccccc1	0	1996.527
Cc1oc(-c2ccccc2F)nc1CSCC(=O)NCc1ccc2c(c1)OCO2	1	2009.693
O=C(O)CCC(=O)CCC(=O)c1ccccc1	0	2000.036
CCn1cc(C(=O)NCC(=O)OC)c2cc(OC)c(OC)cc2c1=O	0	2013.353
Cc1cccc(N(C)S(=O)(=O)c2ccc3[nH]c(=O)c(=O)[nH]c3c2)c1	1	2017.474
Cc1oc(-c2ccccc2F)nc1CS(=O)(=O)CC(=O)NCCCN(C)C1CCCCC1	0	2009.693
CCOC(=O)c1sc(=N)n(-c2ccc(OC)cc2)c1C	1	2014.197
COc1ccc(CC(=O)Nc2ccc(-c3noc(-c4cccc(OC)c4)n3)cc2)cc1	0	2014.581
CCC(Sc1ccc2nnc(-c3ccc(F)cc3)n2n1)C(=O)O	0	2013.852
O=C(O)c1ccc2c(c1)C(=O)N(C(Cc1ccc(O)cc1)C(=O)O)C2=O	0	2019.488
COC(=O)Sc1nnc(-c2ccc(Br)cc2)o1	1	2011.074
O=C1OC2CC3CC1CC(O)(C3)C2	0	2001.181
CC(C)(O)c1cn(-c2nonc2N)nn1	0	2016.822
COc1ccc(CCNC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1OC	0	2007.721
COc1nnc(OC)c2ccccc12	0	2001.236
Cn1cnnc1SCC(=O)OCN1C(=O)c2ccccc2C1=O	0	2005.323
CC(=O)Nc1nc2ccc(Br)cc2s1	1	2006.321
O=C(O)c1ccccc1C(=O)NCc1ccc(F)cc1	0	2004.555
O=C(O)c1cccc(N2CCCC2=O)c1	1	1998.441
CC1(C)OC(=O)C(=CNc2cccc(O)c2)C(=O)O1	0	2018.107
