0	1	2
O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOCC1	12.59	2004.481
C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12	3.0	2002.718
C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccc(Cl)cc1	3.0	2009.444
O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CNCCc4c(Cl)cccc4Cl)c3)c2s1	63.0	2007.721
Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5cccc(N6CCOCC6)c5)cc34)cc2Cl)c1	63.1	2015.712
O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cc(C(F)(F)F)cc2[nH]cnc12	4.47	2017.085
Cc1ccc2c(c1)c(-c1ccnc3c(C(F)(F)F)cccc13)c(C)n2CC(=O)O	5.6	2003.945
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	5.75	1976.036
CCCCNc1nc(SCCC)nc2c1nnn2[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O	6.0	2001.485
O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2c(F)cccc12	6.0	2005.381
O=C(Nc1cc(-c2ccnc(Nc3ccc(F)cc3)c2)ccn1)C1CCOCC1	6.03	2004.481
N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nccs3)CC2)CC1	6.92	2009.0
CC1(C)[C@H](NC(=O)/C(=N\OCc2cc(=O)c(O)cn2O)c2csc(N)n2)C(=O)N1OS(=O)(=O)O	7.94	2008.754
C[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)sc12	4.0	2003.751
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21	4.0	1976.074
CS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1	4.17	2010.479
COc1cc(C(=O)OCCCCNC(=N)N)cc(OC)c1O	3.0	2002.118
O=C(Nc1ccc(F)cc1)c1ccc(Cl)[n+]([O-])c1	3.0	2002.526
Fc1cc(-c2cccc3ncc(-c4cnn(C5CCNCC5)c4)nc23)cc(F)c1CN1CCOCC1	3.0	2008.888
CC(=O)Nc1cccc2c1c(S(=O)(=O)c1ccc(Cl)cc1)c(C)n2CC(=O)O	3.0	2004.06
C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)Nc3cccc(F)c3)CCC1CC2)(c1ccccc1)N1CCCCC1	34.0	2010.345
O=C(O)[C@H](Cc1cccc(F)c1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1	8.0	2012.929
C[C@H](CO)Nc1nc(SCc2ccco2)nc2[nH]c(=O)sc12	8.28	2003.751
CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21	8.33	1992.022
CC[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1	9.0	2006.416
CN1CCN(c2nc3ccccc3cc2Cn2nc(-c3ccc4nc(N)sc4c3)c3c(N)ncnc32)CC1	72.0	2011.879
COc1cccc2sc(NC(=O)c3ccccc3)nc12	74.0	2001.989
c1ccc2c(c1)[nH]c1cnccc12	89.0	1977.068
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1	104.71	2007.395
N#CC1=C2C(=NC1=O)c1cccc3c(N4CCSCC4)ccc2c13	114.82	2013.373
CCN(CC)c1ccc2cc(C(C)=O)c(=O)oc2c1	120.23	1985.214
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	127.7	1978.027
Cc1c(Cl)ccc(OC2CCN(C3CCN(C(=O)c4cccc(S(C)(=O)=O)c4)CC3)CC2)c1Cl	13.5	2003.044
CCCc1cc(=O)[nH]c(=S)[nH]1	3.0	1977.778
COc1ccc(-c2nc3cc(C4=NNC(=O)CC4C)ccc3[nH]2)cc1	14.0	1989.203
Cc1ccc(C[C@@H](C(=O)O)N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1	14.0	2012.929
C[C@H]1C[C@@H](NS(=O)(=O)c2cc(Br)ccc2Br)CN1C#N	16.0	2009.156
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(N2CCNCC2)ccc1Cl	11.0	2002.942
CCOCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O	3.0	1992.713
CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1	3.0	2004.806
CNCC[C@@H](Oc1cc(C(F)(F)F)ccc1C#N)c1ccccc1	3.0	2003.638
O=C(O)c1ccccc1C(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1	3.0	2017.359
CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(C(F)(F)F)c1	4.0	2006.896
N=C(N)c1cc2c(I)cccc2s1	4.0	2001.529
CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(C)c1	3.0	2006.896
CCS(=O)(=O)Nc1cccc2c1c(Oc1ccc(Cl)cc1)c(C)n2CC(=O)O	3.0	2005.17
C[C@H]1CN(Cc2cc(Cl)ccc2CCC(=O)O)CCN1C(=O)Cc1ccccc1	3.0	2007.356
O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccnc(NCC2CCNCC2)c1Cl	68.0	2003.753
COc1ccnc(CCc2nc3cc(Br)cnc3[nH]2)c1	23.5	2003.753
CCCCC(CC)CNC(=O)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl	24.0	2003.753
O=C(NCC1CCCCCC1)c1cc(-c2cccnc2N2CCC(C(=O)O)CC2)ccc1Cl	24.0	2006.589
CNCC[C@@H](Oc1cc(OC)ccc1C#N)c1ccccc1	26.0	2003.638
CS(=O)(=O)c1ccc([C@@H](CC2CCCC2)C(=O)Nc2nccs2)cc1	29.51	2000.762
CC/C(=C(/c1ccc(O)cc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1	33.88	2005.285
Cc1cc2c(C(=O)NC[C@H](C)c3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NC[C@H](C)c3ccccc3)c(O)c(O)cc2c1O	34.67	2016.861
CC(C)N1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1	35.48	2010.844
Nc1nc(-c2ccccn2)nc(N)c1Cc1ccc(Cl)cc1Cl	37.15	2011.189
CC(C)(C)c1cc(NC(=O)NCc2ccccc2Sc2ccc3nnc(-c4ccccc4SCCO)n3c2)n(-c2ccc(O)c(Cl)c2)n1	150.0	2006.129
C[C@@](C(=O)O[C@H]1C[N+]2(Cc3cc(-c4ccccc4)on3)CCC1CC2)(c1ccccc1)N1CCCCC1	150.0	2009.978
CCN(CC)CCn1c2ccccc2c2cnc(N)c(C#N)c21	71.0	2013.334
Cc1ccc(S(=O)(=O)N(C)C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1	10.0	2004.902
CCc1ccc(CCNCCCSCCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1	68.0	2007.184
N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3[nH]c4ccc(F)cc4c3C2)CC1	12.5	2009.0
O=C(Cc1ccc(Cl)c(C(F)(F)F)c1)Nc1cccc2c(=O)n(CCO)ccc12	3.0	2007.74
Cc1nn(-c2ccccc2)c(NC(=O)NS(=O)(=O)c2ccc(Cl)cc2)c1C#N	3.0	1998.978
O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1	64.0	2001.833
Cc1c(CC(=O)O)c2cc(F)ccc2n1S(=O)(=O)c1ccc(S(C)(=O)=O)cc1	5.0	2007.126
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O	5.25	1976.036
CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1	5.5	2000.552
Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1	5.5	2008.008
O=C(NS(=O)(=O)c1cccc(Cl)c1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1	6.0	2003.044
N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3[nH]c4ncccc4c3C2)CC1	7.0	2009.0
CCn1c(SCC(=O)Nc2cc(C)on2)nnc1-c1cccnc1	7.76	2017.162
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1	8.0	1976.093
Cc1c(F)ccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O	3.0	2003.945
Cc1nc2ccc(-c3ccc(Cl)cc3)cc2c(=O)n1C[C@H]1CCCN(C(C)C)C1	3.0	2009.137
O=C(NO)c1ccccc1O	3.0	1976.552
CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3	3.0	1979.082
