	0	1
0	CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]	-3.6161271205
1	O=C1Nc2cccc3cccc1c23	-3.2547670983
2	O=Cc1ccc(Cl)cc1	-2.1770779444
3	CC(c1ccccc1)c1cc(C(=O)[O-])c(O)c(C(C)c2ccccc2)c1.CC(c1ccccc1)c1cc(C(=O)[O-])c(O)c(C(C)c2ccccc2)c1.[Zn+2]	-3.9244090954
4	c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1	-4.6620645831
5	C=Cc1cccc(C)c1	-3.1231503041
6	CCC1CCC(CCC(=O)O)C1	-3.286116314
7	CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CC(O)C2(O)C(=O)CO	-2.6645485391
8	O=C(c1ccc(F)cc1)c1ccc(F)cc1	-4.3966521847000015
9	O=C(OCCCOCCCOC(=O)c1ccccc1)c1ccccc1	-4.595502563999999
10	CN(C)c1ccc(C=O)cc1	-2.2827688499
11	CC(=O)OC(C)(C)Cc1ccccc1	-2.3946499685
12	Cc1cc(C)cc(O)c1.Cc1ccc(C)c(O)c1.Cc1ccc(O)c(C)c1.Cc1ccc(O)cc1C.Cc1cccc(C)c1O.Cc1cccc(O)c1C	-1.9803097957
13	CC(C)(C)c1ccc(OCC2CO2)cc1	-3.4302388798
14	COCCCCC(=O)c1ccc(C(F)(F)F)cc1	-3.5440597008
15	CC(C)=CCC/C(C)=C\CO	-2.3206011661000003
16	Cc1cc(Cl)ccc1OC(C)C(=O)O	-2.4660307863
17	CCCCC(CC)COP(=S)([S-])OCC(C)C.CCCCC(CC)COP(=S)([S-])OCC(C)C.[Zn+2]	-2.9581950472000003
18	FC(F)(F)c1cccc(Cl)c1	-3.4115138849
19	CCC(C)(CCC(C)C)C(=O)OCC1CO1	-3.5134687407
20	CC(C)CCCCCOC(=O)CCS	-4.4543816995
21	CC1=CCC(=C(C)C)CC1	-4.2873429345
22	O=[Si]([O-])[O-].O=[Si]([O-])[O-].[Al+3].[Na+]	-3.4731390517
23	C=C(C)C(=O)[O-].[Zn+2]	-2.3632080977000003
24	CCNCC(O)c1cccc(O)c1	-3.4541026398000003
25	CCC(C)OP(=S)([S-])OC(C)CC(C)C.CCC(C)OP(=S)([S-])OC(C)CC(C)C.[Zn+2]	-2.9908768679000004
26	ClCc1ccc(Cl)cc1Cl	-3.5129421932
27	C=C1CCC2CC1C2(C)C	-4.2923134549
28	CCCCCCCC/C=C\CCCCCCCC(=O)O.NCCNCCO	-4.8091341894
29	CCCCCCCCCCCCOC(=O)C(C)O	-4.6341446203
30	NO	-0.763033718
31	C=CC(=O)OCCOc1ccccc1	-2.5636257131
32	CCCC[N+](CCCC)(CCCC)Cc1ccccc1.O=S(=O)([O-])c1ccc(O)c2ccccc12	-2.6418192727000003
33	C=CCCCCCCCCC(=O)O	-3.5528261452
34	C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-]	-4.0571851475
35	CCC(Cc1ccccc1)(C(=O)c1ccc(N2CCOCC2)cc1)N(C)C	-4.7932278922
36	CC(C)CCCCCCc1ccc(O)cc1	-4.587250024599999
37	C=C(C)c1cccc(C(=C)C)c1	-4.4511392252
38	[Mo]	-4.2038484637
39	C=COC(=O)CCCCCC(C)(C)C	-4.581332510899999
40	Cc1ccc(C(C)(C)C)cc1	-4.4720217682
41	O=C(O)C1CCCCC1	-1.445031941
42	O=C1/C(=N/Nc2ccc3c(S(=O)(=O)[O-])cccc3c2S(=O)(=O)[O-])C(S(=O)(=O)[O-])=Cc2cc(S(=O)(=O)[O-])cc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c4)n3)c21.[Na+].[Na+].[Na+].[Na+].[Na+]	-0.4108977358
43	C(/C=C/c1ccccc1)=NCCCCCCN=C/C=C/c1ccccc1	-3.8937390711
44	CC(C)(C)CC(C)(C)c1cc(Cc2cc(C(C)(C)CC(C)(C)C)cc(-n3nc4ccccc4n3)c2O)c(O)c(-n2nc3ccccc3n2)c1	-7.973715535399999
