0	1	2
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	1	1982.189
CC(=O)NCCCOc1cccc(CN2CCCCC2)c1	1	1981.192
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O	1	1976.036
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O	1	1981.688
CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12	1	1976.284
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O	1	1986.866
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1	1	1980.331
NC(N)=NC(=O)c1nc(Cl)c(N)nc1N	1	1976.762
CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O	0	1990.504
Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O	1	1988.038
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1	1	2006.8
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1	1	1974.808
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1	1	1979.696
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1	1	1980.29
CN1C2CCC1CC(OC(=O)[C@H](CO)c1ccccc1)C2	1	1977.912
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1	1	1975.364
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1	1	1981.019
C[C@H](N)Cc1ccccc1	1	1973.485
CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2	1	1976.074
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1	1	1976.973
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1	1	1977.203
CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1	1	1980.904
FC(F)(F)c1ccc(N2CCNCC2)nc1Cl	1	1990.411
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O.O	1	2004.787
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O	1	1976.016
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	1	1982.463
CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O	1	1988.76
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1	1	1976.055
CCOC(=O)c1cncn1C(C)c1ccccc1	1	1976.495
CN(C)c1cc(-c2nc(N)n[nH]2)ccn1	0	1981.496
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1	1	1975.556
Nc1ccc(-c2nc3ccc(O)cc3s2)cc1I	1	2003.984
CN1[C@@H]2CCC[C@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2	1	1990.808
CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1	1	1973.849
NC(N)=Nc1nc(-c2ccccc2)cs1	1	2005.397
Cc1cccc(C)c1OCC(C)N	1	1976.342
CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C	1	1973.293
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1	1	1975.978
CN(C)CCc1ccccn1	1	1976.284
O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)ccn2)CC1	1	1992.328
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12	1	1974.463
NC(N)=Nc1nc(-c2cccc(N)c2)cs1	1	1981.921
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1	1	1976.208
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1	1	1979.542
NCCCN1c2ccccc2Sc2ccc(Cl)cc21	1	1982.992
CNCCc1ccccn1	1	1976.934
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.[Cl-].[H+]	1	2010.115
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1	1	1976.036
CCC(NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1	1	1995.934
CNCCCC12CCC(c3ccccc31)c1ccccc12	1	1979.926
c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1	1	1986.367
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@@H]12)c1csc(N)n1.[Na+]	1	1998.156
NC(=O)N1c2ccccc2C2OC2c2ccccc21	1	2000.724
CCCN(CCC)CCc1ccc(O)c2c1CC(=O)N2	1	1982.11
CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1	1	1995.688
